port_type.keys,port_type.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,choice.keys,choice.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prompt,opt_a,opt_b,correct,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
0,39.4201,6136cf83be527a683b8c0b95,001,2022-09-19_19h35.06.028,rothman_exp,2022.2.3,Win32,13.07941823,,,,,,,,,,,,,,,,,,,,,,
,,6136cf83be527a683b8c0b95,001,2022-09-19_19h35.06.028,rothman_exp,2022.2.3,Win32,13.07941823,0,38.763,0,0,0,2,1,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,,,,,,,,,,,
,,6136cf83be527a683b8c0b95,001,2022-09-19_19h35.06.028,rothman_exp,2022.2.3,Win32,13.07941823,1,9.2288,0,1,1,8,1,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)",estudantes estudiosos,estudiosos estudantes,opt_a,,,,,,,,,,,
,,6136cf83be527a683b8c0b95,001,2022-09-19_19h35.06.028,rothman_exp,2022.2.3,Win32,13.07941823,0,4.4953,0,2,2,4,1,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,,,,,,,,,,,
,,6136cf83be527a683b8c0b95,001,2022-09-19_19h35.06.028,rothman_exp,2022.2.3,Win32,13.07941823,0,18.8186,0,3,3,0,1,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)",super-heróis valentes,valentes super-heróis,opt_b,,,,,,,,,,,
,,6136cf83be527a683b8c0b95,001,2022-09-19_19h35.06.028,rothman_exp,2022.2.3,Win32,13.07941823,1,9.5703,0,4,4,9,1,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,,,,,,,,,,,
,,6136cf83be527a683b8c0b95,001,2022-09-19_19h35.06.028,rothman_exp,2022.2.3,Win32,13.07941823,1,20.1154,0,5,5,7,1,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)",pais orgulhosos,orgulhosos pais,opt_a,,,,,,,,,,,
,,6136cf83be527a683b8c0b95,001,2022-09-19_19h35.06.028,rothman_exp,2022.2.3,Win32,13.07941823,0,3.6483,0,6,6,3,1,O professor ensina dois cursos que você pode fazer. Há _______________.,opções várias,várias opções,opt_b,,,,,,,,,,,
,,6136cf83be527a683b8c0b95,001,2022-09-19_19h35.06.028,rothman_exp,2022.2.3,Win32,13.07941823,1,6.2961,0,7,7,6,1,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.",meninos fortes,fortes meninos,opt_a,,,,,,,,,,,
,,6136cf83be527a683b8c0b95,001,2022-09-19_19h35.06.028,rothman_exp,2022.2.3,Win32,13.07941823,0,8.4989,0,8,8,1,1,Esse livro é a edição do ano passado - precisamos do ________,Livro novo,livro novo,opt_b,,,,,,,,,,,
,,6136cf83be527a683b8c0b95,001,2022-09-19_19h35.06.028,rothman_exp,2022.2.3,Win32,13.07941823,1,5.5891,0,9,9,5,1,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso),pais afetuosos,afetuosos pais,opt_a,,,,,,,,,,,
,,6136cf83be527a683b8c0b95,001,2022-09-19_19h35.06.028,rothman_exp,2022.2.3,Win32,13.07941823,,,,,,,,,,,,space,2.0637,,,,,,,,,
,,6136cf83be527a683b8c0b95,001,2022-09-19_19h35.06.028,rothman_exp,2022.2.3,Win32,13.07941823,,,,,,,,O próprio presidente conversou com a classe.,"O presidente, e não outra pessoa, conversou com a classe.",O presidente que já havia falado com a classe.,opt_a,,,1,11.7086,0,0,0,9,1,,
,,6136cf83be527a683b8c0b95,001,2022-09-19_19h35.06.028,rothman_exp,2022.2.3,Win32,13.07941823,,,,,,,,Seus pais falam uma rara língua.,Eles falam uma linguagem estranha.,Eles falam um idioma que muito poucas pessoas falam.,opt_b,,,0,8.3524,0,1,1,3,1,,
,,6136cf83be527a683b8c0b95,001,2022-09-19_19h35.06.028,rothman_exp,2022.2.3,Win32,13.07941823,,,,,,,,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_a,,,1,3.8991,0,2,2,5,1,,
,,6136cf83be527a683b8c0b95,001,2022-09-19_19h35.06.028,rothman_exp,2022.2.3,Win32,13.07941823,,,,,,,,Marta é a pessoa única de quem falei.,"Não há ninguém (tão especial) quanto Marta, que eu te disse.","Não contei a você sobre mais ninguém, além de Marta.",opt_b,,,0,11.3205,0,3,3,4,1,,
,,6136cf83be527a683b8c0b95,001,2022-09-19_19h35.06.028,rothman_exp,2022.2.3,Win32,13.07941823,,,,,,,,Meu amigo velho vem comer conosco,Meu amigo é meu amigo há muitos anos,Meu amigo não é jovem.,opt_b,,,1,6.389,0,4,4,1,1,,
,,6136cf83be527a683b8c0b95,001,2022-09-19_19h35.06.028,rothman_exp,2022.2.3,Win32,13.07941823,,,,,,,,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,,,0,7.0202,0,5,5,2,1,,
