port_type.keys,port_type.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,choice.keys,choice.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prompt,opt_a,opt_b,correct,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
,,,001,2022-09-19_19h18.47.438,rothman_exp,2022.2.3,Win32,6.660583334,0,6.8473,0,9,9,1,1,Esse livro é a edição do ano passado - precisamos do ________,Livro novo,livro novo,opt_b,,,,,,,,,,,
,,,001,2022-09-19_19h18.47.438,rothman_exp,2022.2.3,Win32,6.660583334,,,,,,,,,,,,space,1.563,,,,,,,,,
,,,001,2022-09-19_19h18.47.438,rothman_exp,2022.2.3,Win32,6.660583334,,,,,,,,O próprio presidente conversou com a classe.,"O presidente, e não outra pessoa, conversou com a classe.",O presidente que já havia falado com a classe.,opt_a,,,1,12.4136,0,0,0,9,1,,
,,,001,2022-09-19_19h18.47.438,rothman_exp,2022.2.3,Win32,6.660583334,,,,,,,,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,,,1,5.4175,0,1,1,8,1,,
,,,001,2022-09-19_19h18.47.438,rothman_exp,2022.2.3,Win32,6.660583334,,,,,,,,Seus pais falam uma rara língua.,Eles falam uma linguagem estranha.,Eles falam um idioma que muito poucas pessoas falam.,opt_b,,,0,7.1464,0,2,2,3,1,,
,,,001,2022-09-19_19h18.47.438,rothman_exp,2022.2.3,Win32,6.660583334,,,,,,,,Meu amigo velho vem comer conosco,Meu amigo é meu amigo há muitos anos,Meu amigo não é jovem.,opt_b,,,0,5.7815,0,3,3,1,1,,
,,,001,2022-09-19_19h18.47.438,rothman_exp,2022.2.3,Win32,6.660583334,,,,,,,,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_a,,,1,5.3189,0,4,4,7,1,,
,,,001,2022-09-19_19h18.47.438,rothman_exp,2022.2.3,Win32,6.660583334,,,,,,,,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,,,0,3.1054,0,5,5,2,1,,
,,,001,2022-09-19_19h18.47.438,rothman_exp,2022.2.3,Win32,6.660583334,,,,,,,,Marta é a pessoa única de quem falei.,"Não há ninguém (tão especial) quanto Marta, que eu te disse.","Não contei a você sobre mais ninguém, além de Marta.",opt_b,,,0,6.1007,0,6,6,4,1,,
,,,001,2022-09-19_19h18.47.438,rothman_exp,2022.2.3,Win32,6.660583334,,,,,,,,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_a,,,1,3.1531,0,7,7,5,1,,
,,,001,2022-09-19_19h18.47.438,rothman_exp,2022.2.3,Win32,6.660583334,,,,,,,,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,,,1,7.6433,0,8,8,6,1,,
,,,001,2022-09-19_19h18.47.438,rothman_exp,2022.2.3,Win32,6.660583334,,,,,,,,A pintura grande é muito cara.,A pintura é impressionante e custa muito dinheiro,A pintura é enorme e custa muito dinheiro,opt_b,,,0,6.308,0,9,9,0,1,,
,,,001,2022-09-19_19h18.47.438,rothman_exp,2022.2.3,Win32,6.660583334,,,,,,,,,,,,,,,,,,,,,space,22.3518
